Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
52063,-3.60421,0.00000,0,-125292,1
52154,-3.60485,0.00000,0,-125314,1
52244,-3.60357,0.00000,0,-125270,1
52335,-3.60410,0.00000,0,-125288,1
52427,-3.60436,0.00000,0,-125297,1
52518,-3.60354,0.00000,0,-125269,1
52609,-3.60380,0.00000,0,-125278,1
52699,-3.60465,0.00000,0,-125307,1
52790,-3.60474,0.00000,0,-125310,1
52881,-3.60404,0.00000,0,-125286,1
52972,-3.60375,0.00000,0,-125276,1
53063,-3.60348,0.00000,0,-125267,1
53154,-3.60360,0.00000,0,-125271,1
53245,-3.60471,0.00000,0,-125309,1
53336,-3.60474,0.00000,0,-125310,1
53427,-3.60444,0.00000,0,-125300,1
53517,-3.60360,0.00000,0,-125271,1
53608,-3.60238,0.00000,0,-125229,1
53699,-3.60136,0.00000,0,-125194,1
53791,-3.60185,0.00000,0,-125211,1
53882,-3.60188,0.00000,0,-125212,1
53973,-3.60453,0.00000,0,-125303,1
54063,-3.60305,0.00000,0,-125252,1
54154,-3.60334,0.00000,0,-125262,1
54245,-3.60328,0.00000,0,-125260,1
54336,-3.60389,0.00000,0,-125281,1
